name,style,ounces,abv,ibu,brewery,city,state
Invasion Pale Ale,American Pale Ale (APA),12.0,5.0,,Cigar City Brewing Company,Tampa,FL
Maduro Brown Ale,English Brown Ale,12.0,5.5,25.0,Cigar City Brewing Company,Tampa,FL
Hotter Than Helles Lager,Munich Helles Lager,12.0,5.0,,Cigar City Brewing Company,Tampa,FL
Tocobaga Red Ale,American Amber / Red Ale,12.0,7.2,75.0,Cigar City Brewing Company,Tampa,FL
Jai Alai IPA,American IPA,12.0,7.5,70.0,Cigar City Brewing Company,Tampa,FL
Florida Cracker Belgian Wit,Witbier,12.0,5.0,18.0,Cigar City Brewing Company,Tampa,FL
Shark Tracker Light lager,Light Lager,12.0,4.8,,Cisco Brewers,Nantucket,MA
Pumple Drumkin,Pumpkin Ale,12.0,6.0,,Cisco Brewers,Nantucket,MA
Grey Lady,Witbier,12.0,4.5,,Cisco Brewers,Nantucket,MA
Summer of Lager,Munich Helles Lager,12.0,6.2,,Cisco Brewers,Nantucket,MA
Indie Pale Ale,American IPA,12.0,6.5,,Cisco Brewers,Nantucket,MA
Sankaty Light Lager,Light Lager,12.0,3.8,,Cisco Brewers,Nantucket,MA
Whale's Tale Pale Ale,English Pale Ale,12.0,5.6,,Cisco Brewers,Nantucket,MA
Jacaranada Rye IPA,American IPA,16.0,6.7,60.0,Claremont Craft Ales,Claremont,CA
Cascadian Dark Ale,American Black Ale,12.0,6.0,75.0,Coalition Brewing Company,Portland,OR
Wheat the People,American Pale Wheat Ale,16.0,4.4,13.0,Coalition Brewing Company,Portland,OR
Tybee Island Blonde,American Blonde Ale,12.0,4.7,17.0,Coastal Empire Beer Company,Savannah,GA
Savannah Brown Ale,American Brown Ale,12.0,6.2,55.0,Coastal Empire Beer Company,Savannah,GA
Rhode Island Blueberry,Kölsch,12.0,4.6,11.0,Coastal Extreme Brewing Company,Newport,RI
Newport Storm IPA,American IPA,12.0,6.5,75.0,Coastal Extreme Brewing Company,Newport,RI
Hurricane Amber Ale,American Amber / Red Ale,12.0,5.2,24.0,Coastal Extreme Brewing Company,Newport,RI
Big Blue Van,Fruit / Vegetable Beer,16.0,5.8,,College Street Brewhouse and Pub,Lake Havasu City,AZ
Des Moines IPA,American IPA,16.0,6.8,75.0,Confluence Brewing Company,Des Moines,IA
Capital Gold Golden Lager,German Pilsener,16.0,4.8,22.0,Confluence Brewing Company,Des Moines,IA
Farmer John's Multi-Grain Ale,American Blonde Ale,16.0,5.6,21.0,Confluence Brewing Company,Des Moines,IA
Behemoth,American Pilsner,12.0,5.0,,Core Brewing & Distilling Company,Springdale,AR
Arkansas Red,American Amber / Red Ale,12.0,5.2,,Core Brewing & Distilling Company,Springdale,AR
Core Oatmeal Stout,Oatmeal Stout,12.0,5.7,,Core Brewing & Distilling Company,Springdale,AR
Core ESB,Extra Special / Strong Bitter (ESB),12.0,6.1,,Core Brewing & Distilling Company,Springdale,AR
Chester's Beer,American Pale Lager,12.0,3.8,,Cottrell Brewing,Pawcatuck,CT
Heiner Brau Kölsch,Kölsch,12.0,5.0,,Covington Brewhouse,Covington,LA
Trigger Blonde Ale,American Blonde Ale,16.0,4.8,,Crabtree Brewing Company,Greeley,CO
Crabtree Oatmeal Stout,Oatmeal Stout,16.0,7.5,29.0,Crabtree Brewing Company,Greeley,CO
Eclipse Black IPA,American Black Ale,16.0,7.7,71.0,Crabtree Brewing Company,Greeley,CO
Neomexicanus Native,American Pale Ale (APA),12.0,6.0,46.0,Crazy Mountain Brewing Company,Edwards,CO
Old Soul,Belgian Strong Pale Ale,12.0,7.5,25.0,Crazy Mountain Brewing Company,Edwards,CO
Snowcat Coffee Stout,American Stout,12.0,5.9,,Crazy Mountain Brewing Company,Edwards,CO
WinterWonderGrass Festival Ale,American Amber / Red Ale,12.0,,,Crazy Mountain Brewing Company,Edwards,CO
Boohai Red Ale,American Amber / Red Ale,12.0,,,Crazy Mountain Brewing Company,Edwards,CO
Lava Lake Wit,Witbier,12.0,5.2,15.0,Crazy Mountain Brewing Company,Edwards,CO
Mountain Livin' Pale Ale,American Pale Ale (APA),12.0,6.0,,Crazy Mountain Brewing Company,Edwards,CO
Crazy Mountain Amber Ale,American Amber / Red Ale,12.0,5.2,25.0,Crazy Mountain Brewing Company,Edwards,CO
Tropicalia,American IPA,12.0,6.5,65.0,Creature Comforts,Athens,GA
Athena,Berliner Weissbier,12.0,4.5,,Creature Comforts,Athens,GA
Aviator Raspberry Blonde,American Blonde Ale,12.0,4.9,25.0,Crooked Fence Brewing Company,Garden City,ID
3 Picket Porter,American Porter,12.0,5.5,,Crooked Fence Brewing Company,Garden City,ID
Rusty Nail Pale Ale,American Pale Ale (APA),12.0,5.6,,Crooked Fence Brewing Company,Garden City,ID
Red Water Irish Style Red,American Amber / Red Ale,12.0,6.5,,Crow Peak Brewing Company,Spearfish,SD
Mjöllnir,Herbed / Spiced Beer,12.0,6.6,,Crow Peak Brewing Company,Spearfish,SD
Bear Butte Nut Brown Ale,American Brown Ale,12.0,5.5,,Crow Peak Brewing Company,Spearfish,SD
Easy Livin' Summer Ale,American Blonde Ale,12.0,4.5,,Crow Peak Brewing Company,Spearfish,SD
Canyon Cream Ale,Cream Ale,12.0,5.5,,Crow Peak Brewing Company,Spearfish,SD
Pile O'Dirt Porter,American Porter,12.0,6.9,,Crow Peak Brewing Company,Spearfish,SD
11th Hour IPA,American IPA,12.0,6.0,,Crow Peak Brewing Company,Spearfish,SD
South Ridge Amber Ale,American Amber / Red Ale,16.0,6.0,31.0,Crystal Springs Brewing Company,Boulder,CO
Summertime Ale,Kölsch,16.0,5.2,23.0,Crystal Springs Brewing Company,Boulder,CO
Lost River Blonde Ale,American Blonde Ale,16.0,4.9,,Cutters Brewing Company,Avon,IN
Monon Wheat,Witbier,16.0,5.4,,Cutters Brewing Company,Avon,IN
Floyd's Folly,Scottish Ale,16.0,8.0,,Cutters Brewing Company,Avon,IN
Half Court IPA,American IPA,16.0,6.3,,Cutters Brewing Company,Avon,IN
Geary's Pale Ale,English Pale Ale,12.0,4.5,,D.L. Geary Brewing Company,Portland,ME
Geary's Summer Ale,Kölsch,12.0,6.0,,D.L. Geary Brewing Company,Portland,ME
Stone of Arbroath,Scotch Ale / Wee Heavy,12.0,8.0,,DC Brau Brewing Company,Washington,DC
The Tradition,American Blonde Ale,12.0,5.0,15.0,DC Brau Brewing Company,Washington,DC
El Hefe Speaks,Hefeweizen,12.0,5.3,11.0,DC Brau Brewing Company,Washington,DC
Penn Quarter Porter,American Porter,12.0,5.5,,DC Brau Brewing Company,Washington,DC
On the Wings of Armageddon,American Double / Imperial IPA,12.0,9.2,115.0,DC Brau Brewing Company,Washington,DC
The Corruption,American IPA,12.0,6.5,80.0,DC Brau Brewing Company,Washington,DC
The Citizen,Belgian Pale Ale,12.0,7.0,,DC Brau Brewing Company,Washington,DC
The Public,American Pale Ale (APA),12.0,6.0,,DC Brau Brewing Company,Washington,DC
Dank IPA,American IPA,16.0,6.5,,Dad & Dude's Breweria,Aurora,CO
Lift Off IPA,American IPA,16.0,7.2,,Daredevil Brewing Company,Shelbyville,IN
BrewFarm Select Golden Lager,American Pale Lager,12.0,5.5,,Dave's Brewfarm,Wilson,WI
Sprocket Blonde Ale,American Blonde Ale,12.0,5.0,,David's Ale Works,Diamond Springs,CA
Sprocket Pale Ale,American Pale Ale (APA),12.0,5.0,,David's Ale Works,Diamond Springs,CA
Dead Armadillo Amber Ale,American Amber / Red Ale,12.0,6.3,37.0,Dead Armadillo Craft Brewing,Tulsa,OK
Neato Bandito,Euro Pale Lager,12.0,6.0,,Deep Ellum Brewing Company,Dallas,TX
Oak Cliff Coffee Ale,American Brown Ale,12.0,7.5,33.0,Deep Ellum Brewing Company,Dallas,TX
Dream Crusher Double IPA,American Double / Imperial IPA,12.0,8.5,100.0,Deep Ellum Brewing Company,Dallas,TX
Deep Ellum Pale Ale,American Pale Ale (APA),12.0,6.0,,Deep Ellum Brewing Company,Dallas,TX
Double Brown Stout,Baltic Porter,12.0,7.0,,Deep Ellum Brewing Company,Dallas,TX
Farmhouse Wit,Saison / Farmhouse Ale,16.0,4.8,25.0,Deep Ellum Brewing Company,Dallas,TX
Rye Pils Session Lager,German Pilsener,12.0,4.6,,Deep Ellum Brewing Company,Dallas,TX
Dallas Blonde,American Blonde Ale,12.0,5.2,23.0,Deep Ellum Brewing Company,Dallas,TX
Deep Ellum IPA,American IPA,12.0,7.0,70.0,Deep Ellum Brewing Company,Dallas,TX
Thrasher Session India Pale Ale,American IPA,12.0,4.5,44.0,Defiance Brewing Company,Hays,KS
Gutch English Style Mild Ale,English Pale Mild Ale,12.0,5.0,16.0,Defiance Brewing Company,Hays,KS
Chuli Stout,Irish Dry Stout,12.0,5.9,55.0,Denali Brewing Company,Talkeetna,AK
Mother Ale,American Blonde Ale,12.0,5.6,46.0,Denali Brewing Company,Talkeetna,AK
Twister Creek India Pale Ale,American IPA,12.0,6.5,71.0,Denali Brewing Company,Talkeetna,AK
Single Engine Red,Irish Red Ale,12.0,5.8,46.0,Denali Brewing Company,Talkeetna,AK
Incredible Pedal IPA,American IPA,12.0,7.0,,Denver Beer Company,Denver,CO
Graham Cracker Porter,American Porter,12.0,5.0,,Denver Beer Company,Denver,CO
Mirror Pond Pale Ale,American Pale Ale (APA),12.0,5.0,40.0,Deschutes Brewery,Bend,OR
Weissenheimer,Hefeweizen,12.0,5.2,16.0,Destihl Brewery,Bloomington,IL
Abbey's Single,Abbey Single Ale,12.0,4.9,22.0,Destihl Brewery,Bloomington,IL
Vertex IPA,American IPA,12.0,6.3,76.0,Destihl Brewery,Bloomington,IL
Here Gose Nothin',Gose,12.0,5.0,12.0,Destihl Brewery,Bloomington,IL
Strawberry Blonde,Fruit / Vegetable Beer,12.0,5.0,,Destihl Brewery,Bloomington,IL
Hoperation Overload,American Double / Imperial IPA,12.0,9.6,85.0,Destihl Brewery,Bloomington,IL
Abbey's Single Ale,Abbey Single Ale,12.0,4.9,22.0,Destihl Brewery,Bloomington,IL
Bravo Four Point,American Pale Ale (APA),12.0,4.4,45.0,Devil's Backbone Brewing Company,Lexington,VA
Striped Bass Pale Ale,American Pale Ale (APA),12.0,5.2,26.0,Devil's Backbone Brewing Company,Lexington,VA
Deadicated Amber,American Amber / Red Ale,16.0,5.4,27.0,Devil's Canyon Brewery,Belmont,CA
Kaleidoscope Collaboration 2012,American Black Ale,16.0,,,Devil's Canyon Brewery,Belmont,CA
California Sunshine Rye IPA,American IPA,16.0,7.1,85.0,Devil's Canyon Brewery,Belmont,CA
Full Boar Scotch Ale,Scotch Ale / Wee Heavy,16.0,7.4,12.0,Devil's Canyon Brewery,Belmont,CA
12 Man Pale Ale,American Pale Ale (APA),12.0,4.5,,Dick's Brewing Company,Centralia,WA
Filthy Hoppin' IPA,American IPA,16.0,6.5,72.0,Dirty Bucket Brewing Company,Woodinville,WA
Dock Street Amber Beer,American Amber / Red Ale,12.0,,,Dock Street Brewery,Philadelphia,PA
Dolores River Hefeweizen,Hefeweizen,16.0,,,Dolores River Brewery,Dolores,CO
Dolores River ESB,Extra Special / Strong Bitter (ESB),16.0,,,Dolores River Brewery,Dolores,CO
Snaggletooth Double Pale Ale,American Double / Imperial IPA,16.0,,,Dolores River Brewery,Dolores,CO
Dolores River Pale Ale,American Pale Ale (APA),16.0,,,Dolores River Brewery,Dolores,CO
Dolores River Dry Stout,Irish Dry Stout,16.0,,,Dolores River Brewery,Dolores,CO
Dolores River Mild,English Dark Mild Ale,16.0,,,Dolores River Brewery,Dolores,CO
Cranberry Blend,Cider,12.0,4.9,,Downeast Cider House,Leominster,MA
Orignal Blend,Cider,12.0,5.1,,Downeast Cider House,Leominster,MA
Hop Abomination,American IPA,12.0,6.6,100.0,Dry Dock Brewing Company,Aurora,CO
Apricot Blonde,Fruit / Vegetable Beer,12.0,5.1,17.0,Dry Dock Brewing Company,Aurora,CO
Dry Dock Hefeweizen,Hefeweizen,12.0,4.3,12.0,Dry Dock Brewing Company,Aurora,CO
Dry Dock Amber Ale,American Amber / Red Ale,12.0,5.8,49.0,Dry Dock Brewing Company,Aurora,CO
Category 3 IPA,American IPA,12.0,6.1,64.0,Due South Brewing Company,Boynton Beach,FL
Dundee Summer Wheat Beer,American Pale Wheat Ale,12.0,4.5,18.0,Dundee Brewing Company,Rochester,NY
Pumpkin Patch Ale,Pumpkin Ale,16.0,5.0,,Eddyline Brewery & Restaurant,Buena Vista,CO
Crank Yanker IPA,American IPA,16.0,7.8,74.0,Eddyline Brewery & Restaurant,Buena Vista,CO
River Runners Pale Ale,American Pale Ale (APA),16.0,6.0,,Eddyline Brewery & Restaurant,Buena Vista,CO
Mountain Fairy Raspberry Wheat,Fruit / Vegetable Beer,16.0,5.5,,Eddyline Brewery & Restaurant,Buena Vista,CO
Boater Beer,German Pilsener,16.0,4.5,,Eddyline Brewery & Restaurant,Buena Vista,CO
Bleeding Buckeye Red Ale,Extra Special / Strong Bitter (ESB),16.0,5.7,,Elevator Brewing Company,Columbus,OH
Dottie Seattle Lager,American Amber / Red Lager,16.0,4.9,25.0,Emerald City Beer Company,Seattle,WA
Nut Sack Imperial Brown Ale,American Brown Ale,12.0,7.0,,Engine 15 Brewing,Jacksonville Beach,FL
Underachiever,American Adjunct Lager,16.0,5.0,,Engine House 9,Tacoma,WA
Lil' Brainless Raspberries,Fruit / Vegetable Beer,12.0,5.2,,Epic Brewing,Denver,CO
Element 29,American Pale Ale (APA),12.0,5.2,,Epic Brewing,Denver,CO
Hop Syndrome,American Pale Lager,12.0,5.0,,Epic Brewing,Denver,CO
Escape to Colorado,American IPA,12.0,6.2,,Epic Brewing,Denver,CO
Little Sister India Style Session Ale,American IPA,12.0,4.3,60.0,Everybody's Brewing,White Salmon,WA
Country Boy IPA,American IPA,12.0,6.2,80.0,Everybody's Brewing,White Salmon,WA
Blonde Czich,American Blonde Ale,16.0,4.9,23.0,Evil Czech Brewery,Mishawaka,IN
White Reaper,Belgian IPA,16.0,7.0,61.0,Evil Czech Brewery,Mishawaka,IN
Bobblehead,American Pale Wheat Ale,16.0,5.1,,Evil Czech Brewery,Mishawaka,IN
Lucky Dog,American Pale Ale (APA),16.0,5.2,,Evil Czech Brewery,Mishawaka,IN
Voodoo,American Porter,16.0,4.8,,Evil Czech Brewery,Mishawaka,IN
General George Patton Pilsner,Czech Pilsener,16.0,5.4,48.0,Evil Czech Brewery,Mishawaka,IN
Nomader Weiss,Berliner Weissbier,12.0,4.0,,Evil Twin Brewing,Brooklyn,NY
Molotov Lite,American Double / Imperial IPA,16.0,8.5,,Evil Twin Brewing,Brooklyn,NY
Hipster Ale,American Pale Ale (APA),12.0,5.5,,Evil Twin Brewing,Brooklyn,NY
Bikini Beer,American IPA,12.0,2.7,,Evil Twin Brewing,Brooklyn,NY
Iron Horse Pale Ale,American Pale Ale (APA),12.0,5.0,32.0,Fargo Brewing Company,Fargo,ND
Stone's Throw IPA,Scottish Ale,12.0,4.5,19.0,Fargo Brewing Company,Fargo,ND
Wood Chipper India Pale Ale,American IPA,12.0,6.7,70.0,Fargo Brewing Company,Fargo,ND
Trail Head,American Pale Ale (APA),12.0,6.3,55.0,Fat Head's Brewery,Middleburg Heights,OH
Hop Stalker Fresh Hop IPA,American IPA,16.0,7.0,80.0,Fat Head's Brewery,Middleburg Heights,OH
Sudice American Stout,American Stout,16.0,7.0,58.0,Fate Brewing Company,Boulder,CO
Parcae Belgian Style Pale Ale,Belgian Pale Ale,16.0,5.0,20.0,Fate Brewing Company,Boulder,CO
Norns Roggenbier,Roggenbier,16.0,5.0,20.0,Fate Brewing Company,Boulder,CO
Laimas Kölsch Style Ale,Kölsch,16.0,5.0,20.0,Fate Brewing Company,Boulder,CO
Moirai India Pale Ale,American IPA,16.0,7.0,70.0,Fate Brewing Company,Boulder,CO
Loki Red Ale,American Amber / Red Ale,16.0,7.5,53.0,Fearless Brewing Company,Estacada,OR
Peaches & Cream,Fruit / Vegetable Beer,16.0,4.6,,Fearless Brewing Company,Estacada,OR
Quaff India Style Session Ale,American IPA,16.0,5.1,,Fearless Brewing Company,Estacada,OR
Mjolnir Imperial IPA,American Double / Imperial IPA,16.0,6.9,,Fearless Brewing Company,Estacada,OR
Fearless Scottish Ale,Scottish Ale,16.0,5.0,,Fearless Brewing Company,Estacada,OR
Mastermind,American Double / Imperial IPA,12.0,8.1,,Fiddlehead Brewing Company,Shelburne,VT
Hyzer Flip,American Double / Imperial IPA,16.0,8.2,,Fiddlehead Brewing Company,Shelburne,VT
Second Fiddle,American Double / Imperial IPA,16.0,8.2,80.0,Fiddlehead Brewing Company,Shelburne,VT
Hodad Porter,American Porter,16.0,5.5,30.0,Fiddlehead Brewing Company,Shelburne,VT
Weiss Weiss Baby,Kristalweizen,12.0,4.5,,Figueroa Mountain Brewing Company,Buellton,CA
Czech Yo Self,Czech Pilsener,12.0,5.5,45.0,Figueroa Mountain Brewing Company,Buellton,CA
FMB 101,Kölsch,12.0,4.8,20.0,Figueroa Mountain Brewing Company,Buellton,CA
Hardcore Chimera,American Double / Imperial IPA,16.0,9.0,,Finch's Beer Company,Chicago,IL
Sobek & Set,American Black Ale,16.0,8.0,80.0,Finch's Beer Company,Chicago,IL
Nuclear Winter,Belgian Strong Dark Ale,16.0,8.6,,Finch's Beer Company,Chicago,IL
Wet Hot American Wheat Ale,American Pale Wheat Ale,16.0,5.0,22.0,Finch's Beer Company,Chicago,IL
Secret Stache Stout,American Stout,16.0,5.3,,Finch's Beer Company,Chicago,IL
Fascist Pig Ale,American Amber / Red Ale,16.0,8.0,72.0,Finch's Beer Company,Chicago,IL
Cut Throat Pale Ale,American Pale Ale (APA),16.0,5.5,,Finch's Beer Company,Chicago,IL
Threadless IPA,American IPA,16.0,7.5,,Finch's Beer Company,Chicago,IL
Golden Wing Blonde Ale,American Blonde Ale,16.0,4.7,,Finch's Beer Company,Chicago,IL
Easy Jack,American IPA,12.0,4.5,47.0,Firestone Walker Brewing Company,Paso Robles,CA
Union Jack,American IPA,12.0,7.5,75.0,Firestone Walker Brewing Company,Paso Robles,CA
Pivo Pils,German Pilsener,12.0,5.3,,Firestone Walker Brewing Company,Paso Robles,CA
805 Blonde Ale,American Blonde Ale,12.0,4.7,,Firestone Walker Brewing Company,Paso Robles,CA
805,American Blonde Ale,12.0,4.7,20.0,Firestone Walker Brewing Company,Paso Robles,CA
Deflator,Doppelbock,16.0,6.5,,Flat 12 Bierwerks,Indianapolis,IN
Hinchtown Hammer Down,American Blonde Ale,16.0,5.0,27.0,Flat 12 Bierwerks,Indianapolis,IN
Half Cycle IPA,American IPA,16.0,6.0,104.0,Flat 12 Bierwerks,Indianapolis,IN
Inclined Plane Ale,American IPA,12.0,,,Flat Rock Brewing Company,Smithton,PA
Moped Traveler,American Pale Ale (APA),16.0,5.5,,Flesk Brewing Company,Lombard,IL
Snake Dog IPA,American IPA,12.0,7.1,60.0,Flying Dog Brewery,Frederick,MD
Underdog Atlantic Lager,American Pale Lager,12.0,4.7,28.0,Flying Dog Brewery,Frederick,MD
Flying Mouse 8,American Porter,12.0,4.0,,Flying Mouse Brewery,Troutville,VA
Flying Mouse 4,American IPA,12.0,7.0,70.0,Flying Mouse Brewery,Troutville,VA
La Ferme Urbaine Farmhouse Ale,Saison / Farmhouse Ale,12.0,7.8,,Foolproof Brewing Company,Pawtucket,RI
Backyahd IPA,American IPA,12.0,6.0,,Foolproof Brewing Company,Pawtucket,RI
Raincloud Robust Porter,American Porter,12.0,6.5,,Foolproof Brewing Company,Pawtucket,RI
Barstool American Golden Ale,American Blonde Ale,12.0,4.5,,Foolproof Brewing Company,Pawtucket,RI
What the Butler Saw,Witbier,12.0,5.0,18.0,Forgotten Boardwalk,Cherry Hill,NJ
1916 Shore Shiver,American IPA,12.0,6.9,65.0,Forgotten Boardwalk,Cherry Hill,NJ
Quick WIT,Belgian Pale Ale,12.0,5.2,,Fort George Brewery,Astoria,OR
The Optimist,American IPA,12.0,6.2,,Fort George Brewery,Astoria,OR
Suicide Squeeze IPA,American IPA,16.0,4.5,,Fort George Brewery,Astoria,OR
Java the Hop,American IPA,16.0,6.5,,Fort George Brewery,Astoria,OR
Next Adventure Black IPA,American Black Ale,16.0,6.2,,Fort George Brewery,Astoria,OR
3-Way IPA,American IPA,16.0,6.7,,Fort George Brewery,Astoria,OR
Tender Loving Empire NWPA,American Pale Ale (APA),16.0,5.8,,Fort George Brewery,Astoria,OR
Quick Wit Belgianesque Ale,Witbier,16.0,5.2,,Fort George Brewery,Astoria,OR
Sunrise Oatmeal Pale Ale,American Pale Ale (APA),16.0,5.5,,Fort George Brewery,Astoria,OR
Cavatica Stout,American Double / Imperial Stout,16.0,8.8,,Fort George Brewery,Astoria,OR
1811 Lager,American Amber / Red Lager,16.0,5.1,,Fort George Brewery,Astoria,OR
Vortex IPA,American IPA,16.0,7.4,97.0,Fort George Brewery,Astoria,OR
Fort Pitt Ale,American Amber / Red Ale,12.0,,,Fort Pitt Brewing Company,Latrobe,PA
Park,American Pale Wheat Ale,12.0,4.7,19.0,Fort Point Beer Company,San Francisco,CA
Westfalia,American Amber / Red Ale,12.0,5.6,16.0,Fort Point Beer Company,San Francisco,CA
KSA,Kölsch,12.0,4.6,17.0,Fort Point Beer Company,San Francisco,CA
Villager,American IPA,12.0,6.3,42.0,Fort Point Beer Company,San Francisco,CA
Dirty Bastard,Scotch Ale / Wee Heavy,12.0,8.5,50.0,Founders Brewing Company,Grand Rapids,MI
Centennial IPA,American IPA,12.0,7.2,65.0,Founders Brewing Company,Grand Rapids,MI
All Day IPA,American IPA,12.0,4.7,42.0,Founders Brewing Company,Grand Rapids,MI
El Chingon IPA,American IPA,12.0,7.6,73.0,Four Corners Brewing Company,Dallas,TX
Block Party Robust Porter,American Porter,12.0,5.7,40.0,Four Corners Brewing Company,Dallas,TX
Local Buzz,American Blonde Ale,12.0,5.2,20.0,Four Corners Brewing Company,Dallas,TX
Feel Like Maplin' Love,Oatmeal Stout,16.0,5.5,,Four Fathers Brewing,Valparaiso,IN
Father's Beer,Belgian Pale Ale,16.0,5.0,,Four Fathers Brewing,Valparaiso,IN
The 26th,American IPA,16.0,6.0,,Four Fathers Brewing,Valparaiso,IN
The Gadget,American IPA,16.0,6.4,90.0,Four Fathers Brewing,Valparaiso,IN
Leprechaun Lager,American Pale Lager,12.0,4.0,,Four Horsemen Brewing Company,South Bend,IN
Sunbru Kölsch,Kölsch,12.0,5.2,17.0,Four Peaks Brewing Company,Tempe,AZ
Kilt Lifter Scottish-Style Ale,,12.0,6.0,21.0,Four Peaks Brewing Company,Tempe,AZ
Pumpkin Porter,American Porter,12.0,5.1,,Four Peaks Brewing Company,Tempe,AZ
Four Peaks Peach Ale,Fruit / Vegetable Beer,12.0,4.2,9.0,Four Peaks Brewing Company,Tempe,AZ
Hop Knot IPA,American IPA,12.0,6.7,47.0,Four Peaks Brewing Company,Tempe,AZ
Four String Vanilla Porter,American Porter,12.0,6.0,,Four String Brewing Company,Columbus,OH
Suncaster Summer Wheat,American Pale Wheat Ale,12.0,5.0,28.0,Four String Brewing Company,Columbus,OH
Brass Knuckle Pale Ale,American Pale Ale (APA),12.0,5.7,36.0,Four String Brewing Company,Columbus,OH
Big Star White IPA,American White IPA,12.0,7.0,70.0,Four String Brewing Company,Columbus,OH
Old Detroit,American Amber / Red Ale,12.0,5.6,,Frankenmuth Brewery,Frankenmuth,MI
Batch 69 IPA,American IPA,12.0,6.9,69.0,Frankenmuth Brewery,Frankenmuth,MI
Twisted Helles Summer Lager,Munich Helles Lager,12.0,5.5,18.0,Frankenmuth Brewery,Frankenmuth,MI
OktoberFiesta,,12.0,5.3,27.0,Freetail Brewing Company,San Antonio,TX
Texicali,American Brown Ale,12.0,6.5,33.0,Freetail Brewing Company,San Antonio,TX
Pinata Protest,Witbier,12.0,6.0,,Freetail Brewing Company,San Antonio,TX
Bat Outta Helles,Munich Helles Lager,12.0,4.2,20.0,Freetail Brewing Company,San Antonio,TX
Original,American Amber / Red Ale,12.0,6.8,,Freetail Brewing Company,San Antonio,TX
Rye Wit,Witbier,12.0,4.2,10.0,Freetail Brewing Company,San Antonio,TX
Soul Doubt,American IPA,12.0,5.9,70.0,Freetail Brewing Company,San Antonio,TX
Yo Soy Un Berliner,Berliner Weissbier,12.0,4.4,5.0,Freetail Brewing Company,San Antonio,TX
77 Fremont Select Spring Session IPA,American IPA,12.0,4.0,,Fremont Brewing Company,Seattle,WA
Fremont Organic Pale Ale,American Pale Ale (APA),12.0,4.5,,Fremont Brewing Company,Seattle,WA
Abominable Ale,English Strong Ale,12.0,8.0,,Fremont Brewing Company,Seattle,WA
Harvest Ale,Saison / Farmhouse Ale,12.0,6.5,35.0,Fremont Brewing Company,Seattle,WA
Fremont Summer Ale,American Pale Ale (APA),12.0,6.5,45.0,Fremont Brewing Company,Seattle,WA
Universale Pale Ale,American Pale Ale (APA),12.0,5.6,30.0,Fremont Brewing Company,Seattle,WA
Interurban IPA,American IPA,12.0,6.5,80.0,Fremont Brewing Company,Seattle,WA
Gateway Kolsch Style Ale,Kölsch,12.0,5.3,32.0,French Broad Brewery,Asheville,NC
Wee-Heavy-Er Scotch Ale,Scotch Ale / Wee Heavy,12.0,7.0,24.0,French Broad Brewery,Asheville,NC
13 Rebels ESB,Extra Special / Strong Bitter (ESB),12.0,5.2,42.0,French Broad Brewery,Asheville,NC
Salamander Slam,American IPA,16.0,7.0,73.0,Frog Level Brewing Company,Waynesville,NC
Cack-A-Lacky,American Pale Ale (APA),12.0,5.0,,Fullsteam Brewery,Durham,NC
No Wake IPA,American IPA,12.0,7.2,50.0,Geneva Lake Brewing Company,Lake Geneva,WI
Boathouse Blonde,American Blonde Ale,12.0,4.9,15.0,Geneva Lake Brewing Company,Lake Geneva,WI
Cedar Point,American Amber / Red Ale,12.0,5.0,26.0,Geneva Lake Brewing Company,Lake Geneva,WI
Clean Shave IPA,American IPA,12.0,6.7,70.0,Glabrous Brewing Company,Pineland,ME
Might As Well IPL,American Pale Lager,16.0,7.2,75.0,Golden Road Brewing,Los Angeles,CA
Saison Pamplemousse,Saison / Farmhouse Ale,12.0,5.8,35.0,Golden Road Brewing,Los Angeles,CA
2020 IPA,American IPA,16.0,7.4,74.0,Golden Road Brewing,Los Angeles,CA
Wolf Among Weeds IPA,American IPA,16.0,8.0,70.0,Golden Road Brewing,Los Angeles,CA
Better Weather IPA,American IPA,16.0,9.4,92.0,Golden Road Brewing,Los Angeles,CA
Point the Way IPA,American IPA,16.0,5.9,60.0,Golden Road Brewing,Los Angeles,CA
Golden Road Hefeweizen,Hefeweizen,16.0,4.6,15.0,Golden Road Brewing,Los Angeles,CA
Heal the Bay IPA,American IPA,16.0,6.8,65.0,Golden Road Brewing,Los Angeles,CA
Cabrillo Kölsch,Kölsch,16.0,5.0,,Golden Road Brewing,Los Angeles,CA
Get Up Offa That Brown,American Brown Ale,16.0,5.5,20.0,Golden Road Brewing,Los Angeles,CA
Burning Bush Smoked IPA,American IPA,16.0,8.0,70.0,Golden Road Brewing,Los Angeles,CA
Vanilla Porter,American Porter,16.0,7.0,11.0,Gonzo's BiggDogg Brewing,Kalamazoo,MI
Descender IPA,American IPA,12.0,7.0,70.0,Good Life Brewing Company,Bend,OR
Sweet As Pacific Ale,American Pale Wheat Ale,12.0,6.0,18.0,Good Life Brewing Company,Bend,OR
Good People Pale Ale,American Pale Ale (APA),12.0,5.6,36.0,Good People Brewing Company,Birmingham,AL
Snake Handler Double IPA,American Double / Imperial IPA,12.0,9.3,103.0,Good People Brewing Company,Birmingham,AL
Coffee Oatmeal Stout,Oatmeal Stout,12.0,6.0,54.0,Good People Brewing Company,Birmingham,AL
